property_type,department,lat,lon,area_m2,price_cop
house,Cundinamarca,4.733,-74.342,118.0,650000000.0
house,Bogotá D.C,4.615,-74.063,90.0,420000000.0
house,Bogotá D.C,4.683,-74.056,150.0,780000000.0
house,Bogotá D.C,4.636,-74.071,86.0,479800000.0
house,Bogotá D.C,4.657,-74.049,126.0,1500000000.0
house,Valle del Cauca,3.484,-76.524,400.0,415000000.0
house,Bogotá D.C,4.663,-74.06,300.0,1300000000.0
house,Bogotá D.C,4.598,-74.076,124.0,420000000.0
house,Bogotá D.C,4.611,-74.134,332.0,485000000.0
house,Bogotá D.C,4.695,-74.042,115.0,685000000.0
house,Bogotá D.C,4.666,-74.06,98.0,450000000.0
house,Bogotá D.C,4.688,-74.045,142.0,590000000.0
house,Valle del Cauca,3.452,-76.532,422.0,750000000.0
house,Bolívar,10.417,-75.458,126.0,650000000.0
house,Bogotá D.C,4.639,-74.062,69.0,400000000.0
house,Bogotá D.C,4.658,-74.049,183.0,1350000000.0
house,Valle del Cauca,3.421,-76.522,302.0,700000000.0
house,Atlántico,11.005,-74.812,156.0,822411360.0
house,Atlántico,,,124.0,669816000.0
house,Bolívar,10.412,-75.536,83.0,240000000.0
house,Atlántico,11.004,-74.807,78.0,235000000.0
house,Atlántico,10.973,-74.806,147.0,330000000.0
house,Valle del Cauca,3.452,-76.532,224.0,880000000.0
house,Bogotá D.C,4.672,-74.056,115.0,895000000.0
house,Atlántico,11.016,-74.817,113.0,250000000.0
apartment,Magdalena,,,102.0,478000000.0
house,Valle del Cauca,3.452,-76.532,436.0,750000000.0
house,Atlántico,11.008,-74.815,148.0,651200000.0
house,Bogotá D.C,4.716,-74.063,74.0,320000000.0
house,Bogotá D.C,4.614,-74.12,210.0,440000000.0
house,Cundinamarca,4.884,-74.033,224.0,1200000000.0
house,Caldas,5.052,-75.493,133.0,285000000.0
house,Bogotá D.C,4.613,-74.133,375.0,1235000000.0
house,Valle del Cauca,3.483,-76.516,350.0,823000000.0
house,Atlántico,10.999,-74.803,303.0,250000000.0
house,Bogotá D.C,4.735,-74.034,158.0,510000000.0
house,Bogotá D.C,4.727,-74.076,143.0,795000000.0
house,Bogotá D.C,4.698,-74.04,120.0,565000000.0
house,Bogotá D.C,4.734,-74.06,87.0,320000000.0
house,Bogotá D.C,4.694,-74.042,105.0,590000000.0
house,Bogotá D.C,4.699,-74.035,201.0,850000000.0
house,Bogotá D.C,4.765,-74.073,105.0,300000000.0
house,Antioquia,6.1218227112,-75.4272794724,261.0,1150000000.0
house,Atlántico,10.999,-74.798,219.0,927372360.0
house,Bogotá D.C,4.696,-74.036,155.0,720000000.0
house,Bogotá D.C,4.678,-74.054,147.0,749000000.0
house,Bolívar,10.395,-75.562,115.0,350000000.0
house,Cundinamarca,4.92,-74.027,270.0,980000000.0
house,Bogotá D.C,4.69,-74.035,257.0,1200000000.0
house,Bogotá D.C,4.697,-74.048,78.0,550000000.0
house,Valle del Cauca,3.53,-76.298,71.0,429232000.0
house,Bogotá D.C,4.672,-74.052,220.0,1190000000.0
house,Atlántico,10.991,-74.785,384.0,290000000.0
house,Bogotá D.C,4.645,-74.053,142.0,590000000.0
house,Valle del Cauca,,,98.0,320000000.0
house,Atlántico,11.019,-74.809,240.0,450000000.0
house,Bogotá D.C,4.701,-74.054,144.0,930000000.0
house,Bogotá D.C,4.729,-74.07,167.0,600000000.0
house,Bogotá D.C,4.703,-74.095,230.0,450000000.0
house,Bogotá D.C,4.705,-74.042,120.0,720000000.0
house,Bogotá D.C,4.718,-74.066,140.0,370000000.0
house,Atlántico,11.001,-74.796,200.0,850000000.0
